app_name,package_name,review_id,user_name,review_text,rating,review_date
Paywatch,my.paywatchglobal.paywatch,98172e6a-fac7-4865-b137-fbbe5666c2aa,Ari Hermanto,bermanfaat ketika ada kebutuhan mendadak,4,2026-05-12
Paywatch,my.paywatchglobal.paywatch,58667492-f0cd-44e5-8a98-6c4b7b7d813e,evi nuraeni,"saldo tersedia, tetapi gabisa tarik saldo biasa otomatis masuk rekening kenapa ya?",5,2026-05-08
Paywatch,my.paywatchglobal.paywatch,8304cf41-73c4-4997-a7a6-1fbb0505bc93,Yumna Aqilla Almayra,saya menggunakan aplikasi ini di dua perangkat berbeda dan performanya sedikit berbeda di perangkat lama agak lebih lambat tapi masih bisa digunakan tanpa masalah berarti untuk fungsi fungsi utamanya,5,2026-04-20
Paywatch,my.paywatchglobal.paywatch,74fda7dc-9930-4949-a26b-b56bcc10eb46,3 nyong pasung bahagia,ok mempermudah urusan casbon di kantor,5,2026-04-19
Paywatch,my.paywatchglobal.paywatch,7ada466a-f0a5-49d8-bf6b-6378fd0faba6,Turyani Yani,sangat membantu,5,2026-04-19
Paywatch,my.paywatchglobal.paywatch,0660cb33-0de4-4b26-a126-36a8d6012ca3,erik Budiyanto,sangat membantu,5,2026-04-19
Paywatch,my.paywatchglobal.paywatch,e0b90efe-2345-4f32-beb0-8adfe98aabf9,Asep Saepuloh,panduan lengkap tersedia di halaman pusat bantuan aplikasi,5,2026-04-18
Paywatch,my.paywatchglobal.paywatch,97374042-db12-4c9b-b779-938114555b5d,Ida Oppoa17,Top banget 🥰,5,2026-04-17
Paywatch,my.paywatchglobal.paywatch,1fa437f2-6369-4e90-85b2-6d4271b6c9a3,Devie Fazzar Diana,"ini gimana aplikasi, tiba2 d tangguhkan, disuruh hubungi HRD, HRD pun tidak tahu apa2 knp akun saya dtangguhkan, hubungi pusat bantuan jawabannya tidak ada solusi, chat bantuan TDK ada reapon",1,2026-04-17
Paywatch,my.paywatchglobal.paywatch,ed96c1bb-6839-4137-963c-a472e8088e85,Susi Santi,kalau ada undian susah banget tarik dana padahal saya urgent gak butuh menang dalam undian tolong mekanisme jangan begitu jadi susah Tarik dana urgent pada hari ini,4,2026-04-16
Paywatch,my.paywatchglobal.paywatch,b029d0f6-4167-4f55-a132-e9b3c8ba0276,Jhon Fikri,sangat rekomendasi untuk kebutuhan sehari-hari,5,2026-04-11
Paywatch,my.paywatchglobal.paywatch,3bc00e29-2cc1-44ee-a62a-e9254c167978,Wahyudi Sukandar,mebantu saat kondiisi finansial menipis,5,2026-04-09
Paywatch,my.paywatchglobal.paywatch,b8623137-95d5-4e02-9ec2-6318f0d11322,Lusin Bass,sangat membantu kami sebelum gajian semoga PT urecel semakin banyak orderan amin,5,2026-04-06
Paywatch,my.paywatchglobal.paywatch,736f8dcf-e359-4aba-a224-1e14ba78d324,Ahmad Yani,sangat membantu... tq... paywatch,5,2026-04-06
Paywatch,my.paywatchglobal.paywatch,4d422695-b8d8-4d36-9b6e-7662fb6738a6,Dewa Emperror,cukup membantu saat terdesak,4,2026-04-04
Paywatch,my.paywatchglobal.paywatch,3aa9ba7b-c4b3-4bba-a988-e25a3d75ea02,Pengguna Google,sangat membantu saya terimakasih paywatch,5,2026-03-30
Paywatch,my.paywatchglobal.paywatch,4839d3e5-298c-4db8-8832-b03749e5eca6,Rohmatun KHasanah,tampilan aplikasinya cukup sederhana tidak terlalu banyak fitur yang membingungkan tapi ada beberapa menu yang menurut saya kurang jelas fungsinya perlu dicoba dulu beberapa kali baru bisa paham cara kerjanya secara keseluruhan masih bisa digunakan,5,2026-03-22
Paywatch,my.paywatchglobal.paywatch,733c2698-72f1-4236-89da-8389dfb54d5f,Yati Nurhayati,aplikasi y bagus sangat membantu cmn syng saldonya kurang 🙏,5,2026-03-19
Paywatch,my.paywatchglobal.paywatch,860bdf1c-49b3-4cd9-a653-d679e5bcdff2,Abdi Kaka,terimakasih pay watch,5,2026-03-16
Paywatch,my.paywatchglobal.paywatch,d2fd228a-b1ec-4296-9a78-794fba6e0ffd,Siti Aisyah,cepat tepat,5,2026-03-01
Paywatch,my.paywatchglobal.paywatch,70844a53-fdbf-44e2-845f-c805257a9bd1,Asep Sunandar,ada panduan faq tersedia di halaman bantuan,5,2026-02-26
Paywatch,my.paywatchglobal.paywatch,65a4f62d-b889-45cb-a82f-9f49e2d34285,Sabariah Sinurat,saya mengaktifkan fitur pembaruan otomatis di perangkat,5,2026-02-24
Paywatch,my.paywatchglobal.paywatch,f1e45b85-0da2-44ba-ae9b-2d2c29d7f94f,Nda Momyrestu,sangat membantu,5,2026-02-24
Paywatch,my.paywatchglobal.paywatch,13bb6b44-932c-40f7-854f-e4e2e3479778,Haryati Haryati,aplikasi sangat membantu,5,2026-02-23
Paywatch,my.paywatchglobal.paywatch,83c60de8-095c-4c9a-beb1-6cdebac8ab3c,Mustika Fajar putri pertiwi,solusi buat akhir bulan,5,2026-02-21
Paywatch,my.paywatchglobal.paywatch,27e1b8f9-8f78-486f-bee5-289b16113415,Are Widodo,sedikit membantu sih..walaupun hanya 15 harian,4,2026-02-20
Paywatch,my.paywatchglobal.paywatch,458ddcae-739b-4c85-99f7-70dc62898e03,Sidiq Sidiq,terimakasih sangat membantu,5,2026-02-17
Paywatch,my.paywatchglobal.paywatch,52ceb55d-383c-4ae9-95bb-3bb64c797d20,Dedi kasih Giawa,kok semakin rusak aja nih aplikasi gua login berhari hari ngk bisa hadehh,2,2026-02-15
Paywatch,my.paywatchglobal.paywatch,2af36e8d-b5a3-42fe-b75c-999247b7af78,Ha Yuni,sangat mmbantu,5,2026-02-07
Paywatch,my.paywatchglobal.paywatch,5ec719aa-b7ce-4ac0-8391-e56da7955fed,melki bete,sangat membantu,5,2026-02-07
Paywatch,my.paywatchglobal.paywatch,11f3707f-01d9-4b3d-af71-57fd0aa67dd2,Ismail Mail,sangat membantu kami,5,2026-01-31
Paywatch,my.paywatchglobal.paywatch,d35ed078-18b1-42e9-9c51-797038688ed7,Ade Mulyana,mantap,5,2026-01-25
Paywatch,my.paywatchglobal.paywatch,dacb73fa-a447-4d70-8118-dd3a8d089a4b,Marliya Lia,cepat dan mudah,5,2026-01-20
Paywatch,my.paywatchglobal.paywatch,abf1fb19-044f-4700-ae10-eb8978f1656c,Tiahrahmayanti,bermanfaat banget,5,2026-01-19
Paywatch,my.paywatchglobal.paywatch,97cbed56-54c3-4d1f-86fb-3a8d949b8f45,Lukas Toi dasilva,aplikasi dapat diunduh melalui google play store secara gratis,5,2026-01-17
Paywatch,my.paywatchglobal.paywatch,41efe2fc-c55b-4f3d-9a4e-24ce30062644,Endra Hendra,sangat baik dan bermanfaat bagi kami,5,2026-01-17
Paywatch,my.paywatchglobal.paywatch,e900d9aa-6199-4cd4-b1c2-0c43f80317d4,Ujang Sumara,layanan pelanggan dapat dihubungi pada jam kerja,5,2026-01-16
Paywatch,my.paywatchglobal.paywatch,e7b8519b-9c51-4286-b901-7f3521bb8e84,fahmi mbahe,sangat mudah dan cepat,5,2026-01-14
Paywatch,my.paywatchglobal.paywatch,432323a3-aea2-4abf-bc5e-bd329d2aba1c,Rojer Pku,cara penukaran point nya bagaimana ini ?,5,2026-01-14
Paywatch,my.paywatchglobal.paywatch,cdf72b13-efc0-4abf-af54-7d1450ad7c0a,Dami Danu,sangat membantu dalam kebutuhan mendesak,5,2026-01-13
Paywatch,my.paywatchglobal.paywatch,287b38c1-70d8-4949-9f0b-fd1545d83a31,Rully Styono,"Bagus dan bisa membantu bagi yg butuh uang sblm gajian. saran saya biaya admin dikurangi, Rp. 8500 per withdraw itu mahal, lebih mahal dari biaya transfer bank. Sekarang saja ada flip yg gratis, bi fast 2500. atau bisa juga menyesuaikan jumlah penarikan . contoh nya: s.d 1 Juta = 2500 > 1 Juta - 2 Juta = 3500 > 2 Juta - 4 Juta = 4500 > 4 Juta - 8 Juta = 5500 > 8 Juta = 6500 dengan begitu banyak org meski gak butuh uang urgen, dia tetap narik uang nya. jangan membatasi customer anda.",3,2026-01-13
Paywatch,my.paywatchglobal.paywatch,34150efe-1070-4216-8907-a1e3d26affb7,Lutfiyatun Kedung,solusi tepat membantu masalah keuangan,5,2026-01-08
Paywatch,my.paywatchglobal.paywatch,de86378f-73cb-4485-9eba-db08bccc7501,Aku Kamu,saldo nya kalo bisa di tambah,3,2025-12-31
Paywatch,my.paywatchglobal.paywatch,85ef70ad-9058-4475-91c8-9b0be24e4985,Rizqiana,biar bintang yg berbicara,5,2025-12-30
Paywatch,my.paywatchglobal.paywatch,02901403-231b-4924-8cd7-e659af70110c,Muhammad Alzam,bagus,5,2025-12-30
Paywatch,my.paywatchglobal.paywatch,65424884-4e7d-4baa-af8c-9be8faf26235,Khairul Gaming,"sangat membantu, proses mudah dan cepat",5,2025-12-26
Paywatch,my.paywatchglobal.paywatch,c5e69f56-b5c8-47c5-9284-4c2cd0d49de5,indah yani,sangat membantu,5,2025-12-25
Paywatch,my.paywatchglobal.paywatch,5830b525-3be4-4f46-8166-ae2b8bd6d0ad,Mas Boexx,mudah²an paywacth kedepannya jdi lebih baik lagi,5,2025-12-24
Paywatch,my.paywatchglobal.paywatch,1afb41fb-c92b-4cbb-9266-2cc0d3f2358c,Abdul Karim,tidak konsisten,1,2025-12-23
Paywatch,my.paywatchglobal.paywatch,f4413ef6-34f2-452c-90de-983a5020bcf2,Nurul Aini,sangat membantu saat butuh,5,2025-12-22
Paywatch,my.paywatchglobal.paywatch,b82463f8-a28c-4aef-9a97-9a8ee495756c,Sukaesih Kesih,"aplikasinya bagus sangat membantu,,cuma 1 kekurangannya limitnya kurang besar 🙏",5,2025-12-21
Paywatch,my.paywatchglobal.paywatch,d22d57be-7cf5-4b9f-b972-a63a5abe7166,Mely Mulya,sangat membantu,5,2025-12-21
Paywatch,my.paywatchglobal.paywatch,26600435-f9ec-4066-a9b5-31b1645210c0,michael sibarani,jika ada maintenance tidak pernah ada pemberitahuan dan estimasi maintenance.,1,2025-12-16
Paywatch,my.paywatchglobal.paywatch,e646e0a8-28a0-4091-900b-0667664e7f1a,Mei Arsil,"sangat membantu sekali bwt kebutuhan sehari2, terimksh 🫰👌",5,2025-12-15
Paywatch,my.paywatchglobal.paywatch,45e7f097-f3bd-435a-945d-869842871e9e,Gunawan 93,saya perhatikan setiap kali melakukan penarikan ada potongan biaya admin yang dikenakan jumlahnya tidak terlalu besar tapi juga tidak bisa dibilang kecil tergantung berapa yang ditarik jadi ya lumayan lah untuk dipertimbangkan sebelum pakai,5,2025-12-15
Paywatch,my.paywatchglobal.paywatch,e68b2d6c-faaa-44ed-bf38-cd914b69e9b3,Ahyani Aja,paywatch emng sangat membantu👍🥰,5,2025-12-12
Paywatch,my.paywatchglobal.paywatch,30229e81-cfff-411d-baf7-f9d71bf589ab,Eva lestari Eva,pelayanannya cepat,5,2025-12-12
Paywatch,my.paywatchglobal.paywatch,603a6c7d-8da0-40b1-bed8-2051f19762b3,Heny Listiany,sangat baik.. sangat membantu 🙏🙏,4,2025-12-09
Paywatch,my.paywatchglobal.paywatch,cf1d56dd-8f13-4995-b80e-e58c4c72418f,Ahmad Nurasa,ada beberapa pilihan paket layanan dengan biaya berbeda,5,2025-12-03
Paywatch,my.paywatchglobal.paywatch,250cf3ee-dcae-4a20-8738-a1e310329c43,Rahmat Hidayat,"mantap bangeettt , mudah dan bermanfaat",5,2025-12-03
Paywatch,my.paywatchglobal.paywatch,dde4c78e-c465-46b0-9650-0bc3d554cc29,Rizqi Dimas,sangat bermanfaat,5,2025-12-02
Paywatch,my.paywatchglobal.paywatch,9baeac3a-fa5b-4e04-99c5-0971103ef8dc,jimmy anggra,bermanfaat,4,2025-12-02
Paywatch,my.paywatchglobal.paywatch,2eaf2446-2dec-4670-884d-0529ae9ea4d3,Iil Isnawati,sudah dua kali saya melakukan penarikan dan waktunya berbeda beda pertama sekitar satu jam kedua hampir empat jam tidak konsisten tapi masih bisa ditoleransi selama tidak lebih dari satu hari kerja,5,2025-11-30
Paywatch,my.paywatchglobal.paywatch,c98fd9b8-1e2f-4d8a-8f77-6b77fefacdf7,Mr Acep,bagus sangat membantu,5,2025-11-26
Paywatch,my.paywatchglobal.paywatch,93179334-ce9f-4513-a9d7-c692d28f7a13,Dede Sulaeman,goood untuk butuh dana cepat,5,2025-11-26
Paywatch,my.paywatchglobal.paywatch,51a9d4f9-b880-4535-acf1-43d7356ea6b2,Rizki Gunawan,bagus,5,2025-11-26
Paywatch,my.paywatchglobal.paywatch,7899b564-b8f0-48cd-9be7-6028d3f6a612,Sri Rahayu,potongan biaya admin dikenakan untuk setiap kali melakukan penarikan,5,2025-11-26
Paywatch,my.paywatchglobal.paywatch,9a1a10e7-fb04-4e68-b48c-331c462037f0,Evi Septiawati,sangat membantu,5,2025-11-25
Paywatch,my.paywatchglobal.paywatch,2c458b74-d958-439a-8d33-bba9377c99a3,Wiwin Winengsih,sangat baik,5,2025-11-23
Paywatch,my.paywatchglobal.paywatch,950dc10f-8c6d-4689-bbc4-a64044afe734,Dessy Ariatin,sangat membantu saya:)),5,2025-11-22
Paywatch,my.paywatchglobal.paywatch,d526daee-8543-45d2-aea8-8db5febffc14,Anindita Arrum,sangat membantu sekali,5,2025-11-22
Paywatch,my.paywatchglobal.paywatch,3e092e0f-0447-486e-84ad-b9497da83575,FITRIA WINENGSIH,sangat membantu banget keuangan sedang ke pepet (makasi),5,2025-11-21
Paywatch,my.paywatchglobal.paywatch,7484565a-e74d-49cd-9398-65ef2aa25477,Dani Nurasa,sangat membantu di saat urgent,5,2025-11-19
Paywatch,my.paywatchglobal.paywatch,5a126030-d023-4945-a27d-04e3ea135a81,Sketch ware,"tolong agar bisa mengubah data rekening bank penarikan dari aplikasi. ini percuma jika kita cairkan ke bank mandiri yang ada pinjamanan langsung di blokir sama mandiri, cuma menguntungkan pihak bank mandiri.",4,2025-11-18
Paywatch,my.paywatchglobal.paywatch,6c162ebb-7b45-4a04-b4fd-f752ccffa5b9,Toy Saga,sangat membantu sekali prosesnya pun cepat smoga paywatch trus berjaya dan Krenn bgtt..,5,2025-11-17
Paywatch,my.paywatchglobal.paywatch,85cabd94-220f-4134-86d0-d8959ffed126,Jeri Aprianto,sangat bagus cepat dan lancarkan,5,2025-11-17
Paywatch,my.paywatchglobal.paywatch,0c4806d5-e1db-4a03-b9a4-e66aa09d412c,Inggun nika,sangat membantu disaat membutuhkan dana darurat,5,2025-11-17
